name,_L,_a,_b
Cinnabar,52.37605381317074,61.080583816918946,44.419850531048276
Cinnamon,55.99003936524444,37.052073673644934,56.74110382445654
Citrine,82.71659596038765,-9.837359511638832,82.10155540052509
Classic_Rose,86.73450568321034,20.849861677965986,-7.022850536426151
Cobalt,32.79973737293937,22.514179946534902,-58.44035123691276
Cocoa_Brown,55.99003936524444,37.052073673644934,56.74110382445654
Coffee,36.185344267814166,10.8689309728644,19.099368990362965
Columbia_Blue,84.94425990934278,-12.432983885871884,-23.09586599698863
Congo_Pink,67.70598073442288,43.58289236225765,25.749408591913635
Cool_Black,19.450869593099966,9.116836046807187,-35.24898184237056
Cool_Grey,60.87965075922301,3.4326861665121,-14.335876052988738
Copper,54.75516328710232,21.652439713215067,45.397390257044314
Copper_Crayola,65.01428918374188,26.90176222076346,31.41188245690858
Copper_Penny,53.24908412863901,23.861129111862056,13.579071890907034
Copper_Red,56.31857938058576,34.606030684938894,32.11812044888222
Copper_Rose,48.55562400806056,20.553500693165084,8.412205951220386
Coquelicot,56.18307290566588,71.686778243009,68.34006555076319
Coral,67.29498239336417,45.353523286751965,47.49483577693101
Coral_Pink,67.70598073442288,43.58289236225765,25.749408591913635
Coral_Red,57.370130797200545,70.54959421023248,44.82225821832655
Cordovan,36.56396420608067,32.1578900166011,11.546782224092766
Corn,92.26218311490487,-11.366250958434353,68.83140875676959
Cornell_Red,38.63794372665887,57.77800543897468,41.052320663979046
Cornflower_Blue,61.92568256843806,9.329853556425904,-49.29382665798408
Cornsilk,97.45572152904859,-2.219740622572186,14.297636832762372
Cosmic_Latte,97.69851427018733,-0.4982739259375979,8.994268962426123
Cotton_Candy,83.04042517842062,28.359581497856556,-4.971657663720719
Cream,98.4583953618223,-6.494734600652197,21.836282777003134
Crimson,47.03623932451991,70.92085644380886,33.60079570694767
Crimson_Glory,39.883657134457565,65.24688435440848,29.719281711640754
Cyan,91.11330144068016,-48.090596233016704,-14.126329820082262
Cyan_Process,69.37017207934932,-20.423936250571263,-36.665455471956186
Daffodil,97.22953094166833,-20.827279234629792,88.01435824172702
